,Unnamed: 0.1,mood,id,title,all_artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1928,1928,calm,0p6GeAWS4VCZddxNbBtEss,Hometown Glory,Adele,0.451,0.336,10,-8.517,0,0.0368,0.962,3.41e-05,0.102,0.211,122.299,271227,4
1929,1929,calm,7nCBOm2WiTUPAx3TeG2rZA,Warrior,Demi Lovato,0.415,0.399,9,-6.165,0,0.0423,0.868,0.0,0.114,0.196,146.485,231173,4
1930,1930,calm,70K0ezmzYEZeqoSaZMyP7o,Let It All Go,RHODES,0.383,0.43,10,-8.644,1,0.0302,0.817,1.04e-06,0.0869,0.174,107.005,280757,4
1931,1931,calm,76PuNevqb0yeBmA0tWyEcW,Close Your Eyes,RHODES,0.424,0.671,3,-5.554,1,0.0338,0.113,0.0,0.16,0.308,77.798,214187,4
1932,1932,calm,57uX2vR9j9DNiANDYfXw1i,Never Say Never,The Fray,0.23,0.492,8,-5.767,1,0.0317,0.568,8.18e-06,0.176,0.262,160.139,256613,4
1933,1933,calm,4IoYz8XqqdowINzfRrFnhi,You Found Me,The Fray,0.338,0.803,8,-5.412,0,0.0413,0.0187,0.0,0.136,0.4,151.994,241853,4
1934,1934,calm,5rjP15JGMxW6zdPD7nIfbI,Spirits,The Strumbellas,0.554,0.687,0,-4.493,1,0.0261,0.159,0.0,0.113,0.783,80.481,203653,4
1935,1935,calm,1z9kQ14XBSN0r2v6fx4IdG,Diamonds,Rihanna,0.564,0.71,11,-4.92,0,0.0461,0.00125,0.0,0.109,0.393,91.972,225147,4
1936,1936,calm,0rpIH5otu7ykvZPdcQuRPh,Chasing Cars,Snow Patrol,0.556,0.595,9,-4.51,1,0.0275,0.214,8.33e-05,0.125,0.144,104.001,266347,4
1937,1937,calm,3DWOTqMQGp5q75fnVsWwaN,Hey There Delilah - Bonus Track,Plain White T's,0.522,0.453,2,-7.859,1,0.0295,0.831,1.21e-06,0.101,0.306,103.879,233280,4
1938,1938,calm,6cOXkUGFkRrGRTHxaR5UGj,Just You and I (feat. Lena) [Live Session],Lena,0.419,0.234,11,-12.565,1,0.0527,0.86,0.0,0.179,0.404,166.09,198000,4
1939,1939,calm,0nJW01T7XtvILxQgC5J7Wh,When I Was Your Man,Bruno Mars,0.612,0.28,0,-8.648,1,0.0434,0.932,0.0,0.088,0.387,72.795,213827,4
1940,1940,calm,7lGKEWMXVWWTt3X71Bv44I,Unsteady,X Ambassadors,0.389,0.665,0,-6.169,1,0.0644,0.178,0.000732,0.116,0.199,117.055,193547,4
1941,1941,calm,4B3RmT3cGvh8By3WY9pbIx,Skyscraper,Demi Lovato,0.573,0.581,7,-3.325,1,0.0276,0.148,0.0,0.128,0.188,103.82,221293,4
1942,1942,calm,1zVfFnkHv8ubJRXT30d4T3,My Heart,Christopher,0.733,0.48,2,-5.828,1,0.0401,0.335,0.0,0.232,0.488,133.056,196477,3
1943,1943,calm,1i3z3GR1JtLswOSJNO0BQw,"You Can't Stop The Girl (From Disney's ""Maleficent: Mistress of Evil"")",Bebe Rexha,0.394,0.718,7,-6.336,1,0.0607,0.706,0.0,0.116,0.247,151.912,158258,4
1944,1944,calm,4VPXFi4vFTtS9wHe6oMQaT,I Can't Fall in Love Without You,Zara Larsson,0.485,0.332,4,-9.244,1,0.0338,0.784,0.000122,0.146,0.273,130.813,180640,4
1945,1945,calm,5tajmvqHF6YW1iiUFzKpCB,Wasted,MKTO,0.313,0.429,6,-7.415,1,0.0343,0.787,0.0,0.0863,0.416,77.27,184213,4
